instruction,context,response
When was Galaga released?,"Galaga is a 1981 fixed shooter arcade video game developed and published by Namco. In North America, it was released by Midway Manufacturing. It is the sequel to Galaxian (1979), Namco's first major video game hit in arcades. Controlling a starship, the player is tasked with destroying the Galaga forces in each stage while avoiding enemies and projectiles. Some enemies can capture a player's ship via a tractor beam, which can be rescued to transform the player into a ""dual fighter"" with additional firepower.",Galaga was released in 1981 as a fixed shooter arcade video game developed and published by Namco.
Who is Asa Wood?,"Asa Butler Wood (August 26, 1865 - May 7, 1945) was an American politician and newspaper publisher, serving as a state senator in the U.S. state of Nebraska from 1924 to 1930. Born in Wapello County, Iowa. Wood entered the newspaper business as a printer in his teens In 1887, at the age of 21, he founded the Gering Courier, a newspaper he ran until his death in 1945. He was known as ""the dean of the newspapermen of the Nebraska Panhandle, and was at one time president of the Nebraska Press Association. He was also a breeder of cattle, and, like many publishers of that time, the local postmaster.  In 1925, he was elected state senator of Nebraska's Thirty-third District. He served as a Republican senator through 1930, and was known as an advocate of clean government and irrigation policy.  Described as a ""walking encyclopedia"" of western Nebraska history,he served as president of the Nebraska Historical Society from 1936 to 1938.  He left the Courier to his son, Warren Wood, on his death in 1945.","Born in Iowa, Asa Wood was a politician and newspaper publisher who later served as a state senator of Nebraska."
"Luka Modri (Croatian pronunciation: [lka mdrit]; born 9 September 1985) is a Croatian professional footballer who plays as a midfielder for La Liga club Real Madrid and captains the Croatia national team. He plays mainly as a central midfielder, but can also play as an attacking midfielder or as a defensive midfielder. He is widely regarded as one of the greatest midfielders of all time, and as the greatest ever Croatian footballer.  Born in Zadar, Modri's childhood coincided with the Croatian War of Independence which displaced his family. In 2002, he was signed by Dinamo Zagreb at age 16, after showing promise with his hometown club NK Zadar's youth team. He continued his development in Zagreb, before spells on loan to Zrinjski Mostar and Inter Zaprei. He made his debut for Dinamo in 2005 and won three consecutive league titles and domestic cups, being named the Prva HNL Player of the Year in 2007. In 2008, he moved to Premier League club Tottenham Hotspur for a club-record transfer fee of 16.5 million, where he led Spurs to their first UEFA Champions League appearance in almost 50 years, reaching the quarter-finals of the 201011 tournament.  In the summer of 2012, Modri joined Real Madrid for a 30 million transfer fee. There he became a key contributor and helped the team win La Dcima and was selected for the 201314 Champions League squad of the season. After Zinedine Zidane took over Madrid, Modri was critical to three consecutive Champions League titles from 201516 to 201718, each time being voted into the squad of the season. He has won twenty-two major trophies at Real Madrid, including five UEFA Champions League titles, three La Liga titles, one Copa del Rey, four Supercopa de Espaa titles, four UEFA Super Cup titles and five FIFA Club World Cup titles. He won the La Liga Award for ""Best Midfielder"" in 2016 for the second time, and the UEFA Club Football Award for ""Best Midfielder"" in 2017 and 2018. In 2015, he became the first Croatian player to be included in the FIFA FIFPRO World 11, in which he was regularly included until 2019 and then again in 2022, as well in the UEFA Team of the Year between 2016 and 2018. In 2018, Modri became the first Croatian player to win the UEFA Men's Player of the Year Award, and by winning The Best FIFA Men's Player and Ballon d'Or awards, he became the first player other than Lionel Messi or Cristiano Ronaldo to claim the awards in more than a decade. In 2019, he was awarded the Golden Foot award for career results and personality.  Modri made his international debut for Croatia against Argentina in March 2006, and scored his first international goal in a friendly match against Italy. Modri has anchored Croatia's ""second Golden Generation"", participating in every major tournament Croatia has qualified for, including the UEFA Euro 2008, 2012, 2016, and 2020, as well as the 2006, 2014, 2018, and 2022 FIFA World Cup. At the Euro 2008, he was selected for the Team of the Tournament, becoming only the second Croatian to ever achieve this honour. Following group stage eliminations in his first two World Cups, Modri led Croatia to the 2018 World Cup Final, winning the Golden Ball in process. At the following tournament, he led the team to a third-place finish, winning the Bronze Ball in process. In March 2021, he went on to become the country's most capped player in history. Furthermore, he has been named Croatian Footballer of the Year a record eleven times between 2007 and 2022.",Who is Luka Modric?,"Luka Modric is a Croatian professional football (soccer) player. He is considered one of the best midfielders of all time and best Croatian player ever. He was born in Zadar, Croatia. In 2002, at the age of 16, he signed with the biggest Croatian soccer club, Dinamo Zagreb where is stayed till 2008 when he signed with Tottenham Hotspur in England. In 2012 he signed with Real Madrid in Spain where he currently plays."
"What is a Japanese dish of prepared rice, usually with some sugar and salt, accompanied by a variety of ingredients, such as seafood, often raw, and vegetables?","Sushi (, , , , pronounced [si] or [si]) is a Japanese dish of prepared vinegared rice (, sushi-meshi), usually with some sugar and salt, accompanied by a variety of ingredients (, neta), such as seafood, often raw, and vegetables. Styles of sushi and its presentation vary widely, but the one key ingredient is ""sushi rice"", also referred to as shari (), or sumeshi ().  The inventor of modern sushi is believed to be Hanaya Yohei, who invented nigiri-zushi, a type of sushi most known today, in which seafood is placed on hand-pressed vinegared rice, around 1824 in the Edo period (16031867). It was the fast food of the chnin class in the Edo period.  Sushi is traditionally made with medium-grain white rice, though it can be prepared with brown rice or short-grain rice. It is very often prepared with seafood, such as squid, eel, yellowtail, salmon, tuna or imitation crab meat. Many types of sushi are vegetarian. It is often served with pickled ginger (gari), wasabi, and soy sauce. Daikon radish or pickled daikon (takuan) are popular garnishes for the dish.  Sushi is sometimes confused with sashimi, a similar dish in Japanese cuisine that consists of thinly sliced raw fish or occasionally meat.",Sushi is the answer to the question.
Which DJ Introduced BeatBullyz on the BBC Introducting stage?,"Since their formation, the Beatbullyz have had a busy career performing at local venues in Swindon. In 2008, they came 1st in Channel 4's unsigned band competition, which won them a chance to star in the soap opera Hollyoaks. In the same year, they released their album Rootz. In 2009, they got their break in the form of Radio 1's Big Weekend in Swindon, where they appeared on the ""BBC Introducing"" stage, introduced by Radio 1 DJ Huw Stephens. He invited them back for the Maida Vale Session in July. In August that year, they performed at the Moonfest as well as supporting Example in the later part of 2009.  In February 2010, they shared a stage with Scouting for Girls and backed N Dubz on their tour throughout March into April. Dappy from N Dubz said ""Beatbullyz are too unique, I love them, no-one sounds like them, Beatbullyz all the way man."" They played their own gigs throughout April, including a performance at the Playaway Festival. The next month they were back at Radio 1's Big Weekend in Wales where Fearne Cotten introduced them, pledging her support when they headlined the BBC Introducing stage. They released their debut single Skillz that May.  In 2010 they shared a stage with Eliza Doolittle and performed at the Wireless Festival in July. They unveiled their second release, Bounce and then their third release Human Nature and the last release single Heartbeat Ft Lizzy Paterson.Beatbullyz played at the Big Arts Day in Swindon at Lydiard Park. They carried on touring, sharing the stage with such acts as Professor Green and Tinchy Stryder at Spa Bidlington. They recorded a track with, Lizzie Patterson, sister of Robert Patterson, in 2010. In August, they supported Jason Derulo on his UK tour as well as doing their own tour ending in February 2011. In September 2010, Beatbullyz released their album Human Nature and throughout December supported JLS on their tour across the UK in 2010. They supported Example in their hometown Swindon at the MECA. Bozo is featured on a track with another local from Swindon, Daine Gooden. In May 2011 they supported Coolio.",DJ Huw Stephens introduced BeatBullyz on the BBC Introducing stage on Radio 1.
Who was the highest-paid College president in 2003-2004 in U.S.?,"The school first opened in 1962 as Marymount College, a women's junior college founded by the Religious of the Sacred Heart of Mary (RSHM). Due to financial hardship Marymount College sought to sell the books of its library. Donald E. Ross visited the campus to purchase the library, but was so inspired by the school he decided to stay and help it succeed. In 1971, a period of transition began, and the school was placed under the control of a lay board. At that time, Donald E. Ross was named president. In 1974, the name was changed to the College of Boca Raton. The college was granted accreditation at Level II in 1986. In 1988, it was accredited at Level III. During this time, it was transformed from a two-year school to a four-year college with a master's program.  Entrance of Lynn University in Boca Raton The College of Boca Raton became Lynn University in 1991 to honor its benefactors, the Lynn family.  In 20032004, Donald E. Ross was paid a salary of over $5,000,000, making him at the time the highest-paid college or university president in the nation. Lynn University retained the national accounting firm KPMG to determine an equitable retirement compensation package for Ross considering his performance and 35-year term of service (""More than $4.5 million was put aside for his planned June 2006 retirement  an influx of cash designed to make up for decades of no retirement benefits"" being allocated due to budget concerns). This was a third of the endowment for the university. On July 1, 2006, Ross retired after 35 years as the university's president; Kevin M. Ross succeeded his father in office.  On October 22, 2012, the university hosted the third and final 2012 U.S. presidential debate between U.S. president Barack Obama and former Massachusetts governor Mitt Romney concerning U.S. foreign policy. The debate was held at the Keith C. and Elaine Johnson World Performing Arts Center and was moderated by journalist Bob Schieffer of CBS News.","In 20032004, Donald E. Ross was paid a salary of over $5,000,000, making him at the time the highest-paid college or university president in the nation."
Why was Advani concerned about Modis appointment as a chief minister of Gujarat?,"In 2001, Keshubhai Patel's health was failing and the BJP lost a few state assembly seats in by-elections. Allegations of abuse of power, corruption and poor administration were made, and Patel's standing had been damaged by his administration's handling of the earthquake in Bhuj in 2001. The BJP national leadership sought a new candidate for the chief ministership, and Modi, who had expressed misgivings about Patel's administration, was chosen as a replacement. Although Advani did not want to ostracise Patel and was concerned about Modi's lack of experience in government, Modi declined an offer to be Patel's deputy chief minister, telling Advani and Atal Bihari Vajpayee that he was ""going to be fully responsible for Gujarat or not at all"". On 3 October 2001 he replaced Patel as chief minister of Gujarat, with the responsibility of preparing the BJP for the December 2002 elections. On 7 October, he was sworn in, and entered the Gujarat state legislature on 24 February 2002 by winning a by-election to the Rajkot  II constituency, defeating Ashwin Mehta of the INC.","For Modi being a candidate  for the chief minister of Gujarat, Advani was concerned about Modis lack of political experience."
"here is a short history of Plainview  Old Bethpage John F. Kennedy High School, which color was changed when the name changed in 1991?","The school was opened in 1966 under the name John F. Kennedy High School. It was Plainview's second high school. Originally, all senior high school students went to Plainview High School, but were split by residential location when JFK High School opened. In 1991, Plainview-Old Bethpage High School and John F. Kennedy High School were merged into the John F. Kennedy High School building. The school was renamed Plainview-Old Bethpage John F. Kennedy High School. The newly merged school abandoned Plainview High School's colors of green and white in favor of John F. Kennedy's blue and white. Both the original Plainview High School mascot, the Gulls, and the John F. Kennedy High School mascot, the Eagles, were replaced with a new mascot, The Hawks. It is now the only public high school for residents of the community of Plainview and Old Bethpage.",The school colors swapped out green for blue and white stayed the same.
"Given this reference text, why and when did Coke use Splenda as a sweetener in diet Coke?","When diet colas first entered the market, beginning with Diet Rite, the Coca-Cola Company had a long-standing policy to use the Coca-Cola name only on its flagship cola, and so its diet cola was named Tab when it was released in 1963. Its rival Pepsi had no such qualms, and after the long-term success of its sugar-free Diet Pepsi (launched in 1964) became clear, Coca-Cola decided to launch a competing sugar-free brand under the Coca-Cola name that could be marketed more easily than Tab. Diet Coke was launched in 1982 and quickly overtook Tab in sales by a wide margin, though the older drink would remain on the market for decades until the COVID-19 pandemic forced Coca-Cola to discontinue Tab along with other slower-selling drinks in 2020.  Diet Coke is not based on the Coca-Cola formula, but instead on Tab. The controversial New Coke, introduced in 1985, used a version of the Diet Coke recipe that contained high-fructose corn syrup and had a slightly different balance of ingredients. In 2005, the company introduced Coca-Cola Zero (renamed Coca-Cola Zero Sugar in 2017), a sugar-free formula more closely based on original Coca-Cola.  In 2005, under pressure from retailer Walmart (which was impressed with the over-the-counter popularity of Splenda sweetener), the company released a new formulation called ""Diet Coke sweetened with Splenda"". Sucralose and acesulfame potassium replaced aspartame in this version. As the formulation was done to mollify one retailer, this variety had little advertising and promotion, as the company preferred to market Coca-Cola Zero instead. By late 2009, most distributors had stopped distributing the Splenda-formulated Diet Coke.  In 2018, in an effort to be more appealing to millennials, Diet Coke was packaged in a taller, more slender can (of the same volume) and introduced four new flavors. The cans reverted to the conventional shape a year later.",Pressure from Walmart pressured Coca-Cola to release a version of diet Coke sweetened with Splenda from 2005 until most distribution ended in 2009.
Is simul climbing more dangerous for the leader or the follower?,"Short for ""simultaneous"", simul climbing is when two climbers move at the same time. The pseudo-lead climber places gear that the pseudo-follower collects. When the leader runs low on gear they construct a belay station where the follower can join them to exchange gear. The stronger climber is often the pseudo-follower since a fall by the follower would pull the leader from below towards the last piece of geara potentially devastating fall for the leader. In contrast, a fall from the leader would pull the follower from above, resulting in a less serious fall. Most speed ascents involve some form of simul climbing but may also include sections of standard free climbing and the use of placed gear for advancement (i.e. partial aid or pulling on gear).","Simul climbing is more dangerous for the leader, since a fall by the follower would pull the leader from below towards the last piece of gear."
What was the most expensive car ever sold at auction,"On May 5, 2022, in a secret auction at the brand's museum in Germany, Mercedes-Benz sold one of just two 1955 300 SLR Uhlenhaut coupes from its extensive collection of historical automobileswhich dates back to the earliest days of the car in the late 19th century. The sale, to a private buyer, was for 135 million euros ($142,769,250). It handily outstripped the previous record-setting $48.4-million sale of a 1962 Ferrari 250 GTO at a 2018 auction to become the most expensive car ever sold at auction. Both of these high-dollar sales were brokered by RM Sotheby's.",A 1955 Mercedes-Benz 300 SLR was reportedly sold in a secret auction for 135 Million Euros
Who is Steven Spielberg?,"Steven Allan Spielberg KBE (/spilbr/; born December 18, 1946) is an American film director, writer and producer. A major figure of the New Hollywood era and pioneer of the modern blockbuster, he is the most commercially successful director of all time. He is the recipient of various accolades, including three Academy Awards, two BAFTA Awards, and four Directors Guild of America Awards, as well as the AFI Life Achievement Award in 1995, the Kennedy Center Honor in 2006, the Cecil B. DeMille Award in 2009 and the Presidential Medal of Freedom in 2015. Seven of his films have been inducted into the National Film Registry by the Library of Congress as ""culturally, historically or aesthetically significant"".","Steven Spielberg is a celebrated American film director, writer and producer."
"Given this paragraph about Pharaohs, when the title used to address the kings of egypt","The title ""Pharaoh"" is used for those rulers of Ancient Egypt who ruled after the unification of Upper and Lower Egypt by Narmer during the Early Dynastic Period, approximately 3100 BC. However, the specific title was not used to address the kings of Egypt by their contemporaries until the New Kingdom's 18th Dynasty, c. 1400 BC. Along with the title Pharaoh for later rulers, there was an Ancient Egyptian royal titulary used by Egyptian kings which remained relatively constant during the course of Ancient Egyptian history, initially featuring a Horus name, a Sedge and Bee (nswt-bjtj) name and a Two Ladies (nbtj) name, with the additional Golden Horus, nomen and prenomen titles being added successively during later dynasties.",1400 BC
When was Santa Monica founded?,"Santa Monica (Spanish for 'Saint Monica'; Santa Mnica) is a city in Los Angeles County, situated along Santa Monica Bay on California's South Coast. Santa Monica's 2020 U.S. Census population was 93,076. Santa Monica is a popular resort town, owing to its climate, beaches, and hospitality industry. It has a diverse economy, hosting headquarters of companies such as Hulu, Universal Music Group, Lionsgate Films, and The Recording Academy.  Santa Monica traces its history to Rancho San Vicente y Santa Mnica, granted in 1839 to the Seplveda family of California. The rancho was later sold to John P. Jones and Robert Baker, who in 1875, along with his Californio heiress wife Arcadia Bandini de Stearns Baker, founded Santa Monica, which incorporated as a city in 1886. The city developed into a seaside resort during the late 19th and early 20th centuries, with the creation of tourist attractions such as Palisades Park, the Santa Monica Pier, Ocean Park, and the Hotel Casa del Mar.",Santa Monica was founded in 1886.
"Given this paragraph about Arlington Virginia, how many elementary schools are there in the county's public education system?","Arlington Public Schools operates the county's public K-12 education system of 22 elementary schools; 6 middle schools (Dorothy Hamm Middle School, Gunston Middle School, Kenmore Middle School, Swanson Middle School, Thomas Jefferson Middle School, and Williamsburg Middle School); and 3 public high schools (Wakefield High School, Washington-Liberty High School, and Yorktown High School). H-B Woodlawn and Arlington Tech are alternative public schools. Arlington County spends about half of its local revenues on education. For the FY2013 budget, 83 percent of funding was from local revenues, and 12 percent from the state. Per pupil expenditures are expected to average $18,700, well above its neighbors, Fairfax County ($13,600) and Montgomery County ($14,900).",There are 22 elementary schools in the Arlington public education system.
"During WWII, how many Japanese Americans were forcibly relocated and incarcerated?","During World War II, the United States forcibly relocated and incarcerated at least 125,284 people of Japanese descent in 75 identified incarceration sites","125,284"
"Given this paragraph about pyramids , when was the first pyramid built?","The Egyptian pyramids are ancient masonry structures located in Egypt. Sources cite at least 118 identified ""Egyptian"" pyramids. Approximately 80 pyramids were built within the Kingdom of Kush, now located in the modern country of Sudan. Of those located in modern Egypt, most were built as tombs for the country's pharaohs and their consorts during the Old and Middle Kingdom periods.  The earliest known Egyptian pyramids are found at Saqqara, northwest of Memphis, although at least one step-pyramid-like structure has been found at Saqqara, dating to the First Dynasty: Mastaba 3808, which has been attributed to the reign of Pharaoh Anedjib, with inscriptions, and other archaeological remains of the period, suggesting there may have been others. The otherwise earliest among these is the Pyramid of Djoser built c. 26302610 BCE during the Third Dynasty. This pyramid and its surrounding complex are generally considered to be the world's oldest monumental structures constructed of dressed masonry.  The most famous Egyptian pyramids are those found at Giza, on the outskirts of Cairo. Several of the Giza pyramids are counted among the largest structures ever built. The Pyramid of Khufu is the largest Egyptian pyramid. It is the only one of the Seven Wonders of the Ancient World still in existence, despite its being the oldest wonder by about 2,000 years.",26302610 BCE
"Given this paragraph about composer Paul Lansky, did he have an advanced degree?","Paul Lansky (born 1944) is an American composer. He was educated at Manhattan's High School of Music and Art, Queens College and Princeton University, studying with George Perle and Milton Babbitt, among others. He received his Ph.D. in music from Princeton in 1973. His doctoral dissertation consisted of an essay titled ""Affine music"" and a composition of string quartet.Originally intending to pursue a career in performance, during 196566 he played the French horn with the Dorian Wind Quintet. He left the group to attend graduate school. From 1969 until his retirement in 2014 he was on the faculty at Princeton University where he retired as the William Shubael Conant Professor of Music.",Yes. Paul Lansky graduated from Princeton University with a Ph.D in music.
"According to this paragraph, what are the ""Old Dorms"" at the University of Virginia?","The primary housing areas for first-year students are McCormick Road Dormitories, often called ""Old Dorms"", and Alderman Road Dormitories, often called ""New Dorms"". The 1970s-era Alderman Road Dorms are being fully replaced with brand new dormitory buildings in the same area. The replacements feature hall-style living arrangements with common areas and many modern amenities. Instead of being torn down and replaced like the original New Dorms, the Old Dorms will see a $105 million renovation project between 2017 and 2022. They were constructed in 1950, and are also hall-style constructions but with fewer amenities. The Old Dorms are closer to the students' classes.","The ""Old Dorms"" at the University of Virginia often refer to the primary housing area for first-year students on McCormick Road."
"Given a reference text about a snowball effect, tell me how it applies to aerospace engineering.","A snowball effect is a process that starts from an initial state of small significance and builds upon itself (an exacerbating feedback), becoming larger (graver, more serious), and also perhaps potentially dangerous or disastrous (a vicious circle), though it might be beneficial instead (a virtuous circle). This is a clich in cartoons and modern theatrics, and it is also used in psychology.  The common analogy is with the rolling of a snowball down a snow-covered hillside. As it rolls the ball will pick up more snow, gaining more mass and surface area, and picking up even more snow and momentum as it rolls along.  In aerospace engineering, it is used to describe the multiplication effect in an original weight saving. A reduction in the weight of the fuselage will require less lift, meaning the wings can be smaller. Hence less thrust is required and therefore smaller engines, resulting in a greater weight saving than the original reduction. This iteration can be repeated several times, although the decrease in weight gives diminishing returns.  The startup process of a feedback electronic oscillator, when power to the circuit is switched on, is a technical application of the snowball effect. Electronic noise is amplified by the oscillator circuit and returned to its input filtered to contain primarily the selected (desired) frequency, gradually getting stronger in each cycle, until a steady-state oscillation is established, when the circuit parameters satisfy the Barkhausen stability criterion.",The snowball effect is used to describe the multiplication effect in an original weight saving in aerospace engineering.
"Given a reference text about the Davie School, tell me when it was added to the register of historic places and when it was open and closed..","The Davie School (also known as the Old Davie School) is a historic school in Davie, Florida, USA. It is located at 6650 Griffin Road. It was designed by August Geiger. It opened its doors in 1918 to 90 students, and was in continuous use as a school until 1978. On March 29, 1988, it was added to the U.S. National Register of Historic Places. It is the oldest extant school building in Broward County.  School building The architect Geiger was hired by the school board in 1917 and presented them with his plans for the school that September. It is a T-shaped two-story building constructed of concrete with a textured stucco finish. The building has a hip roof with a surrounding parapet. Architectural elements include horseshoe and bell-shaped openings, raised bands of stucco and multiple panel windows.","The Davie School opened in 1918 and closed in 1978. It was added to the U.S. National Register of Historic places on March 29, 1988."
"In a concise bulleted list, tell me what audiologists do when they are seeing a patient","Audiology (from Latin audre, ""to hear""; and from Greek -, -logia) is a branch of science that studies hearing, balance, and related disorders. Audiologists treat those with hearing loss and proactively prevent related damage. By employing various testing strategies (e.g. behavioral hearing tests, otoacoustic emission measurements, and electrophysiologic tests), audiologists aim to determine whether someone has normal sensitivity to sounds. If hearing loss is identified, audiologists determine which portions of hearing (high, middle, or low frequencies) are affected, to what degree (severity of loss), and where the lesion causing the hearing loss is found (outer ear, middle ear, inner ear, auditory nerve and/or central nervous system). If an audiologist determines that a hearing loss or vestibular abnormality is present, they will provide recommendations for interventions or rehabilitation (e.g. hearing aids, cochlear implants, appropriate medical referrals).","* Audiologists aim to determine whether someone has normal sensitivity to sounds. * If hearing loss is identified, audiologists determine which portions of hearing are affected, to what degree, and where the lesion causing the hearing loss is found * If an audiologist determines that hearing loss is present, they will provide recommendations for interventions or rehabilitation"
"Given this paragraph, what were the regional release dates for Viva Piata: Party Animals?","Viva Piata: Party Animals is a video game developed by Krome Studios for the Microsoft Xbox 360 video game console, part of the Viva Piata series. The game was released on October 30, 2007, in North America, November 15 in Australia, November 16 in Europe, and December 6 in Japan.","Viva Piata: Party Animals was released for the Xbox 360 gaming console on October 30, 2007 in North America, November 15, 2007 in Australia, November 16, 2007 in Europe, and December 6, 2007 in Japan."
"Given this paragraph about Vice-Admiral Alexander Colville, tell me when he died and what battles he fought in.","Vice-Admiral Alexander Colville, 7th Lord Colville of Culross (also spelled Colvill) (28 February 1717  21 May 1770), served as the Commodore and Commander in Chief of His Majesty's Ships and Vessels in North America from 1757 to 1762. Colville wrote a well-preserved series of detailed, well-written letters to various other military leaders, his family, the King, and other influential people. These letters have provided more historical information about that time period than many other sources available. His writing was so prolific that many of his letters still surface in antique shops from London, to Halifax to New York City. He is a poorly remembered, but important, contributor to the UK control of the North American seas and the battles of the Seven Years' War of 17561763.","Vice-Admiral Alexander Colville fought in the battles of the Seven Years' War of 1756-1763 and died on May 21, 1770."
"How many years was Hutchinson's streak, and what caused it to end?","Hutchinson attended 1,294 consecutive matches involving the Geelong Football Club between Round 11, 1963, and the 2019 preliminary final, inclusive. That streak came to an end when he and the general public were locked out of the Cats' 2020 Round 1 loss to Greater Western Sydney in Sydney due to the COVID-19 pandemic. If away games are excluded, Hutchinson's streak lasted from the early 1958 season to the 2019 preliminary final.",Hutchinson's streak was 62 years (2019-1958+1) and it ended because of the lock out caused by the COVID-19 pandemic.
What awards did Bill Murray receive for Lost in Translation?,"Murray's performance in Sofia Coppola's Lost in Translation (2003) earned him a Golden Globe and a British Academy Film Award and an Oscar nomination for Best Actor. He has frequently collaborated with directors Ivan Reitman, Harold Ramis, Wes Anderson, Sofia Coppola, Jim Jarmusch, John McNaughton and the Farrelly brothers. He received Golden Globe nominations for his roles in Ghostbusters, Rushmore (1998), Hyde Park on Hudson (2012), St. Vincent (2014), On the Rocks (2020) and the HBO miniseries Olive Kitteridge (2014), for which he later won his second Primetime Emmy Award.",Bill Murray earned a Golden Globe and a British Academy Film Award and an Oscar nomination for Best Actor for his role in Lost in Translation.
"Given this paragraph about video game consoles, when was the Nintendo DS released?","In 2004, Nintendo released the Nintendo DS, which featured such innovations as dual screens  one of which being a touchscreen  and wireless connectivity for multiplayer play. Throughout its lifetime, more than 154 million units were sold, making it the most successful handheld console and the second best-selling console in history. In 2005, Nintendo released the Game Boy Micro, the last system in the Game Boy line. Sales did not meet Nintendo's expectations, with 2.5 million units being sold by 2007. In mid-2005, the Nintendo World Store was inaugurated in New York City.",2004
What is on the DVD Our Favorite Things,"Our Favorite Things is a compilation DVD by the band Negativland, released on November 27, 2007. The original release date on October 23 was skipped due to a pressing error in the DVDs and the bonus CD, a collection of Negativland covers done by an a cappella doo-wop group. It contains 20 of the band's greatest ""hits"" animated by 20 different artists from all over the United States. The cover parodies the artwork of the film The Sound of Music as well as title of the film's song ""My Favorite Things"". The front features a ""review"" from the character Goofy saying, ""It's goofy"". The people on the cover are dolls.","Our Favorite Things is a compilation DVD by the band Negativland, released on November 27, 2007. The original release date on October 23 was skipped due to a pressing error in the DVDs and the bonus CD, a collection of Negativland covers done by an a cappella doo-wop group.   It contains 20 of the band's greatest ""hits"" animated by 20 different artists from all over the United States. The cover parodies the artwork of the film The Sound of Music as well as title of the film's song ""My Favorite Things"". The front features a ""review"" from the character Goofy saying, ""It's goofy"". The people on the cover are dolls."
Who is the largest coatings company in the world by revenue?,"PPG Industries, Inc. is an American Fortune 500 company and global supplier of paints, coatings, and specialty materials. With headquarters in Pittsburgh, Pennsylvania, PPG operates in more than 70 countries around the globe. By revenue it is the largest coatings company in the world followed by AkzoNobel. It is headquartered in PPG Place, an office and retail complex in downtown Pittsburgh, and is known for its glass facade designed by Postmodern architect Philip Johnson.","PPG Industries, Inc."
Where did Allen Eager grow up?,"Allen Eager was born in New York City on January 10, 1927. He grew up in the Bronx. According to Denise McCluggage, Eager could read aged 3, and learned to drive at the age of 9 with the help of his mother, after she caught him driving a garbage truck near the hotels that his parents owned in the Catskill Mountains. He took clarinet lessons with David Weber of the New York Philharmonic at the age of 13.",Allen Eager grew up in the Bronx.
"Given this reference text about the Catholic University of America, tell me when it was established, where it is located, and who founded it.","The Catholic University of America (CUA) is a private Roman Catholic research university in Washington, D.C. It is a pontifical university of the Catholic Church in the United States and the only institution of higher education founded by U.S. Catholic bishops. Established in 1887 as a graduate and research center following approval by Pope Leo XIII, the university began offering undergraduate education in 1904. It is classified among ""R2: Doctoral Universities  High research activity"".  Its campus is adjacent to the Brookland neighborhood, known as ""Little Rome"", which contains 60 Catholic institutions, including Trinity Washington University, the Dominican House of Studies, and Archbishop Carroll High School, as well as the Basilica of the National Shrine of the Immaculate Conception.  CUA's programs emphasize the liberal arts, professional education, and personal development. The school stays closely connected with the Catholic Church and Catholic organizations. The residential U.S. cardinals put on the American Cardinals Dinner each year to raise scholarship funds. The university also has a long history of working with the Knights of Columbus; its law school and basilica have dedications to the involvement and support of the Knights.","The Catholic University was founded in 1887 by the US Catholic Bishops, and is located in Washington, DC."
"Given this paragraph on French Revolution, what were the main causes","The French Revolution (French: Rvolution franaise [evlysj fsz]) was a period of radical political and societal change in France that began with the Estates General of 1789 and ended with the formation of the French Consulate in November 1799. Many of its ideas are considered fundamental principles of liberal democracy, while the values and institutions it created remain central to French political discourse.  Its causes are generally agreed to be a combination of social, political and economic factors, which the Ancien Rgime proved unable to manage. In May 1789, widespread social distress led to the convocation of the Estates General, which was converted into a National Assembly in June. Continuing unrest culminated in the Storming of the Bastille on 14 July, which led to a series of radical measures by the Assembly, including the abolition of feudalism, the imposition of state control over the Catholic Church in France, and extension of the right to vote.","The causes were multiple, including social, politic, and economic factors."
What does Korla stand for?,"Korla, also known as Kurla or from Mandarin Chinese as Ku'erle or Kuerle, is the second largest city in Xinjiang. It is a county-level city and the seat of the Bayingolin Mongol Autonomous Prefecture, the largest prefecture of China.  Korla has existed since at least the Han Dynasty. Korla is known for its production of fragrant pears and is a production center for the Tarim oil fields.","Korla is the second largest city in Xinjiang, China. It is also known as Kurla or Kuerle. It is located in the Bayingolin Mongol Autonomous Prefecture. It is known for fragrant pears and oil fields."
What is Github Copilot?,"GitHub Copilot is a cloud-based artificial intelligence tool developed by GitHub and OpenAI to assist users of Visual Studio Code, Visual Studio, Neovim, and JetBrains integrated development environments (IDEs) by autocompleting code. Currently available by subscription to individual developers, the tool was first announced by GitHub on 29 June 2021, and works best for users coding in Python, JavaScript, TypeScript, Ruby, and Go.",GitHub Copilot is a cloud-based artificial intelligence tool developed by GitHub and OpenAI
"Given this paragraph, what is the size in acres of Walt Disney World?","The Walt Disney World Resort, also called Walt Disney World or Disney World, is an entertainment resort complex in Bay Lake and Lake Buena Vista, Florida, United States, near the cities of Orlando and Kissimmee. Opened on October 1, 1971, the resort is operated by Disney Parks, Experiences and Products, a division of The Walt Disney Company. The property covers nearly 25,000 acres (39 sq mi; 101 km2), of which half has been used. The resort comprises four theme parks (Magic Kingdom, Epcot, Disney's Hollywood Studios, and Disney's Animal Kingdom), two water parks (Disney's Blizzard Beach and Disney's Typhoon Lagoon), 31 themed resort hotels, nine non-Disney hotels, several golf courses, a camping resort, and other entertainment venues, including the outdoor shopping center Disney Springs. On October 1, 2021, Walt Disney World started its celebration of its 50-year anniversary which lasted for 18 consecutive months ending on March 31, 2023.","According to this text, Walt Disney World is 12,500 acres and sits on 25,000 acres of property owned by the company."
